Date,Person,Item
01-01-2000,1,pork
01-01-2000,1,sandwich bags
01-01-2000,1,lunch meat
01-01-2000,1,all- purpose
01-01-2000,1,flour
01-01-2000,1,soda
01-01-2000,1,butter
01-01-2000,1,vegetables
01-01-2000,1,beef
01-01-2000,1,aluminum foil
01-01-2000,1,all- purpose
01-01-2000,1,dinner rolls
01-01-2000,1,shampoo
01-01-2000,1,all- purpose
01-01-2000,1,mixes
01-01-2000,1,soap
01-01-2000,1,laundry detergent
01-01-2000,1,ice cream
01-01-2000,1,dinner rolls
01-01-2000,2,toilet paper
01-01-2000,2,shampoo
01-01-2000,2,hand soap
01-01-2000,2,waffles
01-01-2000,2,vegetables
01-01-2000,2,cheeses
01-01-2000,2,mixes
01-01-2000,2,milk
01-01-2000,2,sandwich bags
01-01-2000,2,laundry detergent
01-01-2000,2,dishwashing liquid/detergent
01-01-2000,2,waffles
01-01-2000,2,individual meals
01-01-2000,2,hand soap
01-01-2000,2,vegetables
01-01-2000,2,individual meals
01-01-2000,2,yogurt
01-01-2000,2,cereals
01-01-2000,2,shampoo
01-01-2000,2,vegetables
01-01-2000,2,aluminum foil
01-01-2000,2,tortillas
01-01-2000,2,mixes
02-01-2000,3,soda
02-01-2000,3,pork
02-01-2000,3,soap
02-01-2000,3,ice cream
02-01-2000,3,toilet paper
02-01-2000,3,dinner rolls
02-01-2000,3,hand soap
02-01-2000,3,spaghetti sauce
02-01-2000,3,milk
02-01-2000,3,ketchup
02-01-2000,3,sandwich loaves
02-01-2000,3,poultry
02-01-2000,3,toilet paper
02-01-2000,3,ice cream
02-01-2000,3,ketchup
02-01-2000,3,vegetables
02-01-2000,3,laundry detergent
02-01-2000,3,spaghetti sauce
02-01-2000,3,bagels
02-01-2000,3,soap
02-01-2000,3,ice cream
02-01-2000,3,shampoo
02-01-2000,3,lunch meat
02-01-2000,3,cereals
02-01-2000,3,spaghetti sauce
02-01-2000,3,pork
02-01-2000,3,vegetables
02-01-2000,3,cheeses
02-01-2000,3,eggs
02-01-2000,3,vegetables
02-01-2000,3,vegetables
02-01-2000,4,cereals
02-01-2000,4,juice
02-01-2000,4,lunch meat
02-01-2000,4,soda
02-01-2000,4,toilet paper
02-01-2000,4,all- purpose
02-01-2000,5,sandwich loaves
02-01-2000,5,pasta
02-01-2000,5,tortillas
02-01-2000,5,mixes
02-01-2000,5,hand soap
02-01-2000,5,toilet paper
02-01-2000,5,vegetables
02-01-2000,5,vegetables
02-01-2000,5,paper towels
02-01-2000,5,vegetables
02-01-2000,5,flour
02-01-2000,5,vegetables
02-01-2000,5,pork
02-01-2000,5,poultry
02-01-2000,5,eggs
02-01-2000,5,vegetables
02-01-2000,5,pork
02-01-2000,5,spaghetti sauce
02-01-2000,5,vegetables
02-01-2000,5,milk
02-01-2000,5,waffles
02-01-2000,5,individual meals
02-01-2000,5,vegetables
02-01-2000,5,dinner rolls
02-01-2000,5,all- purpose
02-01-2000,5,soda
02-01-2000,5,yogurt
02-01-2000,6,laundry detergent
02-01-2000,6,toilet paper
02-01-2000,6,eggs
02-01-2000,6,toilet paper
02-01-2000,6,vegetables
02-01-2000,6,bagels
